input,output
어선 뉴호프3호 남해영해 5~10톤미만 8월 4-8시,기관손상
어선 파워피싱호 남해영해 5~10톤미만 8월 0-4시,침수
기타선 3뉴월드호 서해영해 50~100톤미만 8월 8-12시,화재 · 폭발
어선 3금영호 서해영해 5~10톤미만 8월 8-12시,안전사고
어선 에비스호 남해영해 5~10톤미만 8월 16-20시,좌초
예인선 유호5호 인천항 및 진입수로 50~100톤미만 6월 16-20시,해양오염
유조선 동광호 서해영해 50~100톤미만 10월 12-16시,운항저해
예인선 효명7호 서해영해 50~100톤미만 11월 12-16시,침몰
어선 비너스호 남해영해 5~10톤미만 8월 16-20시,침수
예인선 16서해호 서해영해 50~100톤미만 3월 16-20시,충돌
어선 306미래호 서해영해 5~10톤미만 3월 16-20시,충돌
어선 제21대양호 동해공해 5~10톤미만 8월 16-20시,운항저해
어선 청양피싱호 남해영해 5~10톤미만 8월 0-4시,기관손상
어선 포르투나호 남해영해 5~10톤미만 8월 4-8시,부유물감김
화물선 제3신라호 남해영해 50~100톤미만 3월 4-8시,해양오염
어선 경천5호 서해영해 5~10톤미만 8월 8-12시,해양오염
어선 제21대양호 동해영해 5~10톤미만 8월 12-16시,기관손상
어선 대경호 서해영해 5~10톤미만 8월 16-20시,기관손상
기타선 에스1호 서해영해 50~100톤미만 8월 20-24시,기관손상
어선 청호레저호 남해영해 5~10톤미만 8월 8-12시,추진축계손상
어선 파워호 서해영해 5~10톤미만 8월 12-16시,운항저해
어선 해성호 인천항 및 진입수로 5~10톤미만 8월 12-16시,충돌
예인선 26조양호 동해영해 50~100톤미만 11월 20-24시,부유물감김
예인선 행복A-3 부산항 및 진입수로 50~100톤미만 5월 0-4시,침수
기타선 에스원호  서해영해 50~100톤미만 10월 16-20시,기관손상
예인선 울산105호 남해영해 50~100톤미만 4월 0-4시,부유물감김
화물선 부일호 남해영해 50~100톤미만 5월 12-16시,침수
어선 카이져호 동해영해 5~10톤미만 8월 20-24시,부유물감김
어선 제606영일호 서해영해 5~10톤미만 8월 20-24시,안전사고
유조선 제1진양호 남해영해 50~100톤미만 8월 16-20시,해양오염
어선 백상어3호 남해영해 5~10톤미만 8월 4-8시,부유물감김
어선 오렌지2호 남해영해 5~10톤미만 8월 0-4시,충돌
"어선 삼성호 장항항,군산항 및 진입수로 5~10톤미만 8월 0-4시",화재 · 폭발
어선 제1항진호 남해영해 5~10톤미만 8월 12-16시,기관손상
어선 뉴금성호 남해영해 5~10톤미만 8월 8-12시,충돌
어선 레인보우2호 남해영해 5~10톤미만 8월 4-8시,화재 · 폭발
어선 7화원호 남해영해 5~10톤미만 8월 16-20시,화재 · 폭발
"기타선 정해해양2호 울산항(미포만포함), 포항항 50~100톤미만 5월 12-16시",해양오염
어선 베드로호 서해영해 5~10톤미만 8월 20-24시,좌초
어선 천억호 기타 5~10톤미만 9월 16-20시,안전사고
어선 제2보해호 남해영해 5~10톤미만 9월 8-12시,기관손상
어선 성우2호 남해영해 5~10톤미만 9월 8-12시,부유물감김
어선 풍승호 남해영해 5~10톤미만 9월 12-16시,충돌
기타선 수정호 남해영해 50~100톤미만 6월 12-16시,충돌
어선 세원호 남해영해 5~10톤미만 9월 12-16시,충돌
어선 명진2호 남해영해 5~10톤미만 9월 0-4시,화재 · 폭발
어선 제7대성호 서해영해 5~10톤미만 9월 4-8시,충돌
어선 해다호 서해영해 5~10톤미만 10월 12-16시,안전사고
어선 제308대양호 서해영해 5~10톤미만 9월 16-20시,안전사고
어선 금영호 서해영해 5~10톤미만 9월 16-20시,안전사고
어선 제707진영호 서해영해 5~10톤미만 9월 12-16시,침수
어선 주왕호 남해영해 5~10톤미만 9월 4-8시,안전사고
어선 매일호 남해영해 5~10톤미만 12월 4-8시,안전사고
어선 이글스호 서해영해 5~10톤미만 9월 4-8시,운항저해
기타선 어항동해3호 동해영해 50~100톤미만 12월 20-24시,부유물감김
기타선 삼양티2호 서해영해 50~100톤미만 6월 16-20시,충돌
"유조선 레오텍2호 장항항,군산항 및 진입수로 50~100톤미만 10월 16-20시",기관손상
예인선 신정701호 남해영해 50~100톤미만 12월 8-12시,조타장치손상
어선 임마누엘호 남해영해 5~10톤미만 9월 4-8시,조타장치손상
어선 나이스호 서해영해 5~10톤미만 9월 8-12시,기관손상
예인선 제이케이27호 남해영해 50~100톤미만 5월 0-4시,기관손상
어선 정명호 서해영해 5~10톤미만 9월 0-4시,부유물감김
어선 에이스호 남해영해 5~10톤미만 9월 0-4시,좌초
어선 오렌지1호 남해영해 5~10톤미만 9월 12-16시,화재 · 폭발
"어선 3대원호 여수항, 광양항 및 진입수로 5~10톤미만 9월 16-20시",충돌
어선 동천호 동해영해 5~10톤미만 9월 16-20시,부유물감김
"예인선 제202대경호 마산항, 진해항, 진해만(가덕수로) 50~100톤미만 6월 8-12시",침수
예인선 205대경호 부산항 및 진입수로 50~100톤미만 9월 20-24시,기관손상
예인선 성덕2호 서해영해 50~100톤미만 7월 16-20시,안전사고
예인선 동평 동해영해 50~100톤미만 6월 16-20시,부유물감김
예인선 동평호 동해영해 50~100톤미만 4월 12-16시,부유물감김
어선 재은호 동해영해 5~10톤미만 9월 4-8시,조타장치손상
"예인선 203금용호 울산항(미포만포함), 포항항 50~100톤미만 5월 8-12시",안전사고
"유조선 제26영호 여수항, 광양항 및 진입수로 50~100톤미만 5월 8-12시",해양오염
화물선 6동해호 남해영해 50~100톤미만 12월 8-12시,운항저해
어선 현광호 서해영해 5~10톤미만 9월 4-8시,침수
어선 포르투나호 남해영해 5~10톤미만 9월 16-20시,해양오염
어선 대흥호 동해영해 5~10톤미만 9월 4-8시,조타장치손상
기타선 101유진호 서해영해 50~100톤미만 8월 4-8시,침몰
어선 태양3호 서해영해 5~10톤미만 9월 16-20시,추진축계손상
예인선 동평호 남해영해 50~100톤미만 12월 4-8시,기타
어선 대물호 남해영해 5~10톤미만 9월 0-4시,기관손상
어선 제603분도호 서해영해 5~10톤미만 9월 8-12시,안전사고
어선 진안호 남해영해 5~10톤미만 9월 4-8시,운항저해
예인선 삼양티 2호 서해영해 50~100톤미만 8월 20-24시,안전사고
어선 등대호 동해영해 5~10톤미만 9월 20-24시,기관손상
어선 제2만재피싱호 서해영해 5~10톤미만 9월 8-12시,기관손상
어선 우주1호 남해영해 5~10톤미만 9월 4-8시,기관손상
어선 천일호 서해영해 10~15톤미만 10월 4-8시,안전사고
"기타선 에벤에셀호 서해영해 1,000~5,000톤미만 3월 16-20시",충돌
어선 영창호 서해영해 5~10톤미만 9월 0-4시,기관손상
유조선 해신호 부산항 및 진입수로 50~100톤미만 1월 8-12시,기관손상
어선 성우2호 남해영해 5~10톤미만 9월 4-8시,침수
어선 뉴한라호 서해영해 5~10톤미만 10월 12-16시,추진축계손상
어선 에이스호 남해영해 5~10톤미만 10월 12-16시,기관손상
어선 제1항진호 남해영해 5~10톤미만 10월 16-20시,기관손상
어선 제7아리호 동해영해 5~10톤미만 10월 20-24시,충돌
어선 대흥호 서해영해 5~10톤미만 10월 12-16시,기관손상
"예인선 일성에이-2호 평택항, 당진항 50~100톤미만 12월 12-16시",조타장치손상
어선 고고피싱호 남해영해 5~10톤미만 10월 0-4시,충돌
예인선 금신101호 남해영해 50~100톤미만 1월 12-16시,충돌
"유조선 창진1호 울산항(미포만포함), 포항항 50~100톤미만 3월 0-4시",기타
기타선 신세계1호 서해영해 50~100톤미만 6월 4-8시,해양오염
어선 헤라클레스호 남해영해 5~10톤미만 10월 4-8시,부유물감김
어선 금산호 서해영해 10~15톤미만 1월 8-12시,안전사고
어선 광명호 남해영해 5~10톤미만 10월 0-4시,충돌
예인선 동경102호 동해영해 50~100톤미만 12월 20-24시,기관손상
예인선 세원호 서해영해 50~100톤미만 3월 4-8시,침몰
어선 제301혜수호 남해영해 5~10톤미만 10월 0-4시,충돌
예인선 88동아호 남해영해 50~100톤미만 3월 16-20시,침몰
예인선 도양호 동해영해 50~100톤미만 9월 4-8시,부유물감김
예인선 서진호 동해영해 50~100톤미만 11월 16-20시,좌초
어선 제501성민호 동해영해 5~10톤미만 10월 4-8시,기관손상
예인선 태양9호 인천항 및 진입수로 50~100톤미만 5월 4-8시,조타장치손상
어선 102광정호 서해영해 10~15톤미만 1월 8-12시,안전사고
"예인선 도양호 여수항, 광양항 및 진입수로 50~100톤미만 6월 20-24시",충돌
어선 진안호 남해영해 5~10톤미만 10월 20-24시,기관손상
어선 흑산후크2호 남해영해 5~10톤미만 10월 20-24시,화재 · 폭발
예인선 도양호 남해영해 50~100톤미만 8월 16-20시,기관손상
어선 뉴갈치호 남해영해 5~10톤미만 10월 4-8시,침수
어선 청호호 남해영해 5~10톤미만 10월 12-16시,추진축계손상
어선 남양호 동해영해 5~10톤미만 10월 16-20시,부유물감김
유조선 제1중현호 서해영해 50~100톤미만 5월 12-16시,기관손상
예인선 서진호 서해영해 50~100톤미만 12월 0-4시,기관손상
예인선 88동아호 남해영해 50~100톤미만 4월 16-20시,침수
어선 해동호 동해영해 5~10톤미만 10월 20-24시,부유물감김
어선 우리호 남해영해 5~10톤미만 10월 4-8시,충돌
어선 제203조성호 동해영해 5~10톤미만 10월 20-24시,충돌
예인선 제이케이23호 남해영해 50~100톤미만 2월 20-24시,좌초
어선 정일호 서해영해 5~10톤미만 10월 8-12시,침수
어선 제2도영호 동해영해 5~10톤미만 10월 4-8시,충돌
예인선 1001종영호 남해영해 50~100톤미만 8월 12-16시,충돌
예인선 305성신호 남해영해 50~100톤미만 11월 8-12시,기관손상
예인선 덕운호 서해영해 50~100톤미만 7월 12-16시,해양오염
기타선 제1중현호 인천항 및 진입수로 50~100톤미만 3월 16-20시,추진축계손상
예인선 주원호 서해영해 50~100톤미만 8월 20-24시,기타
어선 대성호 남해영해 5~10톤미만 10월 4-8시,조타장치손상
예인선 강남101호 남해공해 50~100톤미만 9월 0-4시,기관손상
유조선 제1중현호 인천항 및 진입수로 50~100톤미만 8월 8-12시,해양오염
유조선 제1중현호 서해영해 50~100톤미만 9월 16-20시,기관손상
"예인선 2002경일호 삼천포, 통영항, 통영해만, 견내량수로 50~100톤미만 1월 8-12시",안전사고
화물선 승리호 남해영해 50~100톤미만 3월 8-12시,안전사고
어선 용진호 동해영해 5~10톤미만 10월 4-8시,기관손상
유조선 자유호 남해영해 50~100톤미만 3월 8-12시,기관손상
유조선 자유호 부산항 및 진입수로 50~100톤미만 7월 12-16시,기관손상
어선 대승호 서해영해 5~10톤미만 10월 0-4시,안전사고
"기타선 영남호 울산항(미포만포함), 포항항 50~100톤미만 2월 8-12시",운항저해
기타선 울산101호 남해영해 50~100톤미만 7월 8-12시,충돌
"예인선 29조양호 평택항, 당진항 50~100톤미만 3월 8-12시",운항저해
예인선 삼오1호 동해영해 50~100톤미만 2월 12-16시,충돌
어선 제7화원호 남해영해 5~10톤미만 10월 4-8시,기관손상
"예인선 29조양호 마산항, 진해항, 진해만(가덕수로) 50~100톤미만 2월 8-12시",충돌
어선 청해호 남해영해 5~10톤미만 10월 12-16시,기관손상
어선 블루마린호 서해영해 5~10톤미만 10월 16-20시,운항저해
어선 뉴대광호 남해영해 5~10톤미만 10월 12-16시,운항저해
어선 제508일영호  남해영해 5~10톤미만 10월 0-4시,추진축계손상
어선 제101유일호 서해영해 5~10톤미만 10월 16-20시,부유물감김
어선 영웅호 남해영해 5~10톤미만 10월 8-12시,충돌
"예인선 29조양호 장항항,군산항 및 진입수로 50~100톤미만 3월 8-12시",추진축계손상
어선 우성호 서해공해 5~10톤미만 11월 4-8시,추진축계손상
어선 만덕호 목포항 및 진입수로 5~10톤미만 11월 8-12시,좌초
유조선 오승호 부산항 및 진입수로 50~100톤미만 4월 12-16시,해양오염
예인선 501고려호 부산항 및 진입수로 50~100톤미만 1월 20-24시,기타
어선 전진호 남해공해 5~10톤미만 11월 4-8시,기관손상
어선 영순호 서해영해 5~10톤미만 11월 4-8시,좌초
어선 현광1호 서해영해 5~10톤미만 11월 4-8시,안전사고
어선 제7대현호 서해영해 5~10톤미만 11월 16-20시,안전사고
어선 스텔라호 서해영해 5~10톤미만 11월 20-24시,부유물감김
어선 태양호 서해영해 5~10톤미만 11월 20-24시,기관손상
예인선 오대양12호 서해영해 50~100톤미만 3월 16-20시,기관손상
어선 비너스호 남해영해 5~10톤미만 11월 4-8시,충돌
기타선 제7해주호 인천항 및 진입수로 25~30톤미만 3월 16-20시,충돌
어선 마리곤호 남해영해 5~10톤미만 11월 4-8시,운항저해
어선 원피싱호 서해영해 5~10톤미만 11월 16-20시,기관손상
어선 동신호 서해공해 5~10톤미만 11월 16-20시,기관손상
예인선 한강3호 서해영해 100~500톤미만 11월 4-8시,안전사고
예인선 오대양12호 서해영해 50~100톤미만 10월 4-8시,침수
어선 조은호 남해영해 5~10톤미만 11월 4-8시,좌초
예인선 501고려호 남해영해 50~100톤미만 12월 12-16시,안전사고
어선 금강호 남해영해 5~10톤미만 11월 12-16시,충돌
어선 제303남해호 서해영해 5~10톤미만 11월 4-8시,추진축계손상
어선 행복호 남해영해 5~10톤미만 11월 12-16시,기관손상
어선 파이넥스호 서해공해 5~10톤미만 11월 16-20시,부유물감김
어선 2002만덕호 남해영해 5~10톤미만 11월 0-4시,기관손상
어선 진영호 동해공해 5~10톤미만 11월 12-16시,조타장치손상
어선 블랙펄호 서해영해 5~10톤미만 11월 4-8시,조타장치손상
어선 글로리호 서해영해 5~10톤미만 11월 8-12시,충돌
어선 동성호 남해영해 5~10톤미만 11월 8-12시,충돌
예인선 301동성 서해영해 50~100톤미만 4월 16-20시,좌초
어선 제11우진호 동해영해 5~10톤미만 11월 0-4시,충돌
예인선 선우101호 인천항 및 진입수로 50~100톤미만 6월 8-12시,해양오염
어선 채리피싱호 남해영해 5~10톤미만 11월 4-8시,기관손상
예인선 문창 서해영해 50~100톤미만 5월 16-20시,부유물감김
어선 빅마마3호 남해영해 5~10톤미만 11월 4-8시,기관손상
어선 진명호 남해공해 5~10톤미만 12월 4-8시,추진축계손상
어선 푸른바다호 서해영해 5~10톤미만 12월 4-8시,기관손상
어선 방주호 목포항 및 진입수로 5~10톤미만 12월 4-8시,침수
어선 명진호 남해영해 5~10톤미만 12월 0-4시,충돌
어선 포시즌호 남해영해 5~10톤미만 12월 16-20시,부유물감김
"예인선 동인9호 평택항, 당진항 50~100톤미만 11월 16-20시",해양오염
어선 제6어복호 동해공해 5~10톤미만 12월 16-20시,화재 · 폭발
어선 제101영신호 남해영해 5~10톤미만 12월 16-20시,좌초
예인선 선우101호 서해영해 50~100톤미만 8월 8-12시,해양오염
어선 77경남호 남해영해 5~10톤미만 12월 0-4시,좌초
어선 대박피싱호 남해영해 5~10톤미만 12월 8-12시,기관손상
어선 동진호 남해영해 5~10톤미만 12월 4-8시,화재 · 폭발
어선 성원호 남해영해 5~10톤미만 12월 16-20시,추진축계손상
"예인선 문창호 여수항, 광양항 및 진입수로 50~100톤미만 11월 8-12시",침수
예인선 홍보11호 서해영해 50~100톤미만 10월 16-20시,기관손상
여객선 거북선호 남해영해 50~100톤미만 10월 8-12시,기타
예인선 101장원호 동해영해 50~100톤미만 12월 16-20시,침수
예인선 191장원호 동해영해 50~100톤미만 12월 12-16시,해양오염
예인선 3001광진호 서해영해 50~100톤미만 7월 8-12시,안전사고
어선 썬스타호 서해영해 5~10톤미만 12월 8-12시,부유물감김
어선 레인보우2호 남해영해 5~10톤미만 12월 20-24시,추진축계손상
어선 원피싱호 서해영해 5~10톤미만 12월 4-8시,기관손상
어선 제2하나호 남해영해 5~10톤미만 12월 8-12시,추진축계손상
예인선 전남912호 서해영해 50~100톤미만 10월 12-16시,충돌
어선 해진호 남해영해 5~10톤미만 12월 12-16시,기타
어선 경영호 동해공해 5~10톤미만 12월 0-4시,추진축계손상
예인선 신한1004호 서해영해 50~100톤미만 9월 4-8시,충돌
어선 뉴청산호 남해영해 5~10톤미만 12월 4-8시,기관손상
어선 제5해풍호 서해영해 5~10톤미만 12월 8-12시,좌초
예인선 7삼영호 남해영해 50~100톤미만 6월 16-20시,추진축계손상
예인선 7삼영호 서해영해 50~100톤미만 7월 8-12시,추진축계손상
어선 1창경호 동해공해 5~10톤미만 12월 16-20시,조타장치손상
예인선 제이케이25호 남해영해 50~100톤미만 4월 4-8시,해양오염
기타선 대해2호 서해영해 50~100톤미만 11월 4-8시,좌초
어선 동광호 서해영해 5~10톤미만 12월 12-16시,침수
어선 스텔라호 남해영해 5~10톤미만 12월 12-16시,화재 · 폭발
어선 삼육오피싱2호 남해영해 5~10톤미만 12월 8-12시,조타장치손상
예인선 현준호 인천항 및 진입수로 50~100톤미만 9월 16-20시,접촉
어선 제6문성호 서해영해 5~10톤미만 12월 12-16시,부유물감김
어선 나경호 동해공해 5~10톤미만 12월 12-16시,기관손상
어선 분도호 서해영해 5~10톤미만 1월 0-4시,침몰
어선 맑음호 서해영해 5~10톤미만 1월 12-16시,부유물감김
어선 강성호 동해공해 5~10톤미만 1월 16-20시,추진축계손상
예인선 광해201호 인천항 및 진입수로 50~100톤미만 10월 8-12시,해양오염
어선 무적호 남해영해 5~10톤미만 1월 4-8시,충돌
어선 제95명진호 동해영해 5~10톤미만 1월 12-16시,부유물감김
어선 장성호 동해공해 5~10톤미만 1월 0-4시,화재 · 폭발
어선 505공진호 남해영해 5~10톤미만 1월 12-16시,기관손상
예인선 301성신호 동해영해 50~100톤미만 2월 8-12시,해양오염
예인선 7삼영호 부산항 및 진입수로 50~100톤미만 1월 20-24시,기타
예인선 대해1호 남해영해 50~100톤미만 10월 4-8시,기타
"유조선 와이엔 오션호 인천항 및 진입수로 1,000~5,000톤미만 3월 16-20시",충돌
예인선 3경영호 부산항 및 진입수로 50~100톤미만 2월 12-16시,해양오염
어선 한라호 남해공해 5~10톤미만 1월 0-4시,추진축계손상
어선 제307덕원호 서해영해 5~10톤미만 1월 4-8시,충돌
예인선 동아티3호 인천항 및 진입수로 50~100톤미만 6월 0-4시,해양오염
어선 태성호 동해공해 5~10톤미만 1월 8-12시,기관손상
어선 준이호 동해공해 5~10톤미만 1월 12-16시,기관손상
어선 한보레저호 서해영해 5~10톤미만 1월 16-20시,충돌
어선 창성호 남해영해 5~10톤미만 1월 0-4시,기관손상
예인선 102신한호 남해영해 50~100톤미만 8월 16-20시,기관손상
어선 진영호 동해공해 5~10톤미만 1월 4-8시,충돌
어선 아담호 서해공해 5~10톤미만 1월 8-12시,추진축계손상
어선 태광호 동해공해 5~10톤미만 1월 12-16시,기관손상
어선 동방호 동해영해 5~10톤미만 1월 12-16시,부유물감김
예인선 102신한호 서해영해 50~100톤미만 7월 8-12시,기관손상
어선 해명5호 남해영해 5~10톤미만 1월 12-16시,추진축계손상
예인선 창영1호 부산항 및 진입수로 50~100톤미만 4월 12-16시,해양오염
어선 제2하나호 남해영해 5~10톤미만 1월 8-12시,추진축계손상
어선 자연호 남해영해 5~10톤미만 1월 12-16시,추진축계손상
"어선 순풍호 평택항, 당진항 5~10톤미만 1월 8-12시",기관손상
어선 23경북호 동해영해 5~10톤미만 1월 8-12시,부유물감김
어선 제2신명호 남해영해 5~10톤미만 1월 12-16시,기관손상
어선 명신호 남해영해 5~10톤미만 1월 4-8시,충돌
어선 흥복호 동해영해 5~10톤미만 2월 4-8시,기관손상
예인선 창영1호 서해영해 50~100톤미만 5월 8-12시,충돌
어선 78피싱2호 남해영해 5~10톤미만 2월 12-16시,기관손상
"예인선 창영1호 울산항(미포만포함), 포항항 50~100톤미만 7월 20-24시",좌초
어선 2문성호 서해영해 5~10톤미만 2월 20-24시,화재 · 폭발
유조선 제1영진호 남해영해 50~100톤미만 10월 4-8시,화재 · 폭발
어선 제203남양호 동해공해 5~10톤미만 2월 20-24시,안전사고
어선 만수1호 서해영해 5~10톤미만 2월 4-8시,조타장치손상
어선 아가미호 남해영해 5~10톤미만 2월 12-16시,기관손상
어선 정경호 동해공해 5~10톤미만 2월 8-12시,부유물감김
어선 나현호 동해영해 5~10톤미만 2월 8-12시,안전사고
여객선 지세3호 남해영해 50~100톤미만 11월 12-16시,기관손상
예인선 대성3호 남해영해 50~100톤미만 8월 8-12시,기관손상
어선 명광호 동해공해 5~10톤미만 2월 8-12시,안전사고
유조선 부영호 서해영해 50~100톤미만 4월 8-12시,운항저해
어선 태광호 동해공해 5~10톤미만 2월 0-4시,안전사고
어선 태광호 동해공해 5~10톤미만 2월 8-12시,화재 · 폭발
어선 페라리호 서해영해 5~10톤미만 2월 12-16시,기관손상
어선 여명호 남해영해 5~10톤미만 2월 16-20시,추진축계손상
어선 금양3호 남해영해 5~10톤미만 2월 0-4시,기관손상
유조선 7대림호 서해영해 50~100톤미만 7월 20-24시,기관손상
예인선 강남티7(강남T-7)호 남해영해 50~100톤미만 7월 20-24시,기관손상
예인선 305해송호 서해영해 50~100톤미만 9월 8-12시,추진축계손상
기타선 외달도사랑호 서해영해 50~100톤미만 9월 8-12시,침수
"유조선 부영호 평택항, 당진항 50~100톤미만 9월 8-12시",침수
어선 태금호 동해영해 5~10톤미만 2월 16-20시,충돌
어선 제21대양호 동해영해 5~10톤미만 2월 20-24시,운항저해
어선 제207남양호 동해공해 5~10톤미만 2월 16-20시,안전사고
어선 제9신아호 서해영해 5~10톤미만 3월 12-16시,추진축계손상
어선 금성호 동해공해 5~10톤미만 3월 8-12시,기관손상
유조선 부영호 인천항 및 진입수로 50~100톤미만 10월 8-12시,침수
어선 18영진호 동해공해 5~10톤미만 3월 16-20시,추진축계손상
예인선 201성인호 서해영해 50~100톤미만 1월 4-8시,운항저해
어선 신영호 서해영해 5~10톤미만 3월 16-20시,충돌
어선 연등호 남해영해 5~10톤미만 3월 16-20시,안전사고
"어선 용선호 장항항,군산항 및 진입수로 5~10톤미만 3월 20-24시",좌초
유조선 남영호 부산항 및 진입수로 50~100톤미만 3월 12-16시,해양오염
어선 우성호 남해영해 5~10톤미만 3월 16-20시,기관손상
어선 제2은성호 남해영해 5~10톤미만 3월 4-8시,침수
어선 리조트호 남해공해 5~10톤미만 3월 4-8시,침수
유조선 제1동양호 남해영해 50~100톤미만 8월 16-20시,부유물감김
어선 스마트호 남해영해 5~10톤미만 3월 8-12시,기관손상
어선 영신호 동해영해 5~10톤미만 3월 12-16시,기관손상
어선 2002만덕호 남해영해 5~10톤미만 3월 16-20시,조타장치손상
어선 제301해수호 남해공해 5~10톤미만 3월 0-4시,기관손상
어선 리더스1호 남해영해 5~10톤미만 3월 4-8시,기관손상
어선 강바다1호 남해영해 5~10톤미만 3월 0-4시,조타장치손상
어선 미소호 동해공해 5~10톤미만 3월 12-16시,기관손상
어선 유성호 남해영해 5~10톤미만 3월 0-4시,충돌
어선 뉴청산호 남해영해 5~10톤미만 4월 12-16시,부유물감김
어선 킹스타호 서해영해 5~10톤미만 4월 16-20시,기관손상
어선 동광호 서해영해 5~10톤미만 4월 20-24시,안전사고
어선 제101유일호 서해영해 5~10톤미만 4월 12-16시,추진축계손상
어선 단비호 남해영해 5~10톤미만 4월 0-4시,기관손상
어선 제1항진호 남해영해 5~10톤미만 4월 4-8시,침수
예인선 강남티12호 목포항 및 진입수로 50~100톤미만 7월 12-16시,조타장치손상
어선 삼산1호 남해영해 5~10톤미만 4월 20-24시,화재 · 폭발
"예인선 301종영호 삼천포, 통영항, 통영해만, 견내량수로 50~100톤미만 1월 12-16시",해양오염
예인선 제305해송호 동해영해 50~100톤미만 11월 20-24시,접촉
어선 태양호 서해영해 5~10톤미만 4월 16-20시,부유물감김
어선 제8창승호 동해영해 5~10톤미만 4월 16-20시,전복
"예인선 제505해송호 제주항, 서귀포항 50~100톤미만 12월 16-20시",충돌
어선 진안호 남해영해 5~10톤미만 4월 8-12시,침수
어선 황금호 서해영해 25~30톤미만 3월 0-4시,충돌
어선 아이리스호 서해영해 5~10톤미만 4월 16-20시,부유물감김
어선 시내산호 남해영해 5~10톤미만 4월 0-4시,기관손상
"예인선 102해안호 평택항, 당진항 50~100톤미만 8월 12-16시",해양오염
"어선 대원호 장항항,군산항 및 진입수로 5~10톤미만 4월 8-12시",화재 · 폭발
화물선 그린진도호 목포항 및 진입수로 50~100톤미만 2월 12-16시,기관손상
어선 제207남양호 동해공해 5~10톤미만 4월 20-24시,전복
예인선 102해안 남해영해 50~100톤미만 6월 16-20시,안전사고
어선 아쿠아호 남해영해 5~10톤미만 4월 12-16시,기관손상
어선 202대승호 서해영해 5~10톤미만 4월 20-24시,부유물감김
어선 드래곤호 동해공해 5~10톤미만 4월 8-12시,운항저해
예인선 창우1호 동해공해 50~100톤미만 12월 8-12시,안전사고
예인선 제53창영호 남해영해 50~100톤미만 9월 16-20시,안전사고
기타선 부경에이비 11호 부산항 및 진입수로 50~100톤미만 4월 8-12시,접촉
어선 제502남양호 동해공해 5~10톤미만 4월 8-12시,기관손상
어선 금강7호 서해영해 5~10톤미만 4월 12-16시,충돌
예인선 101태화호 동해영해 50~100톤미만 1월 8-12시,화재 · 폭발
여객선 매물도구경3호 남해영해 50~100톤미만 2월 8-12시,충돌
어선 조아라호 남해영해 5~10톤미만 4월 20-24시,부유물감김
어선 강룡호 동해공해 5~10톤미만 4월 0-4시,기관손상
어선 영석호 서해영해 5~10톤미만 4월 8-12시,기관손상
어선 오딧세이호 남해영해 5~10톤미만 4월 8-12시,추진축계손상
어선 한하호 서해영해 5~10톤미만 4월 4-8시,화재 · 폭발
어선 청해호 남해영해 5~10톤미만 4월 12-16시,부유물감김
예인선 울산107호 서해영해 50~100톤미만 9월 0-4시,충돌
어선 광진호 동해영해 5~10톤미만 5월 8-12시,충돌
어선 영석호 서해영해 5~10톤미만 5월 8-12시,기관손상
어선 썬스타호 서해영해 5~10톤미만 5월 12-16시,기관손상
어선 자율호 서해영해 5~10톤미만 5월 4-8시,추진축계손상
"예인선 울산107호 울산항(미포만포함), 포항항 50~100톤미만 11월 12-16시",화재 · 폭발
예인선 창일201호 동해영해 50~100톤미만 12월 20-24시,기관손상
"예인선 남경1호 마산항, 진해항, 진해만(가덕수로) 50~100톤미만 2월 8-12시",해양오염
예인선 세광호 남해영해 50~100톤미만 7월 12-16시,좌초
예인선 세광호 남해영해 50~100톤미만 10월 20-24시,운항저해
"유조선 트리톤호 서해영해 1,000~5,000톤미만 3월 0-4시",충돌
어선 제2은성호 남해영해 5~10톤미만 5월 0-4시,추진축계손상
"어선 둘리피싱호 장항항,군산항 및 진입수로 5~10톤미만 5월 4-8시",충돌
기타선 P-75정 서해영해 50~100톤미만 6월 4-8시,충돌
어선 대영호 남해영해 5~10톤미만 5월 12-16시,기관손상
어선 형제호 남해영해 5~10톤미만 5월 12-16시,부유물감김
어선 해용호 동해영해 5~10톤미만 5월 0-4시,충돌
예인선 삼흥호 남해영해 50~100톤미만 2월 20-24시,조타장치손상
어선 제303송은호 남해영해 5~10톤미만 5월 0-4시,기타
어선 조영호 서해영해 5~10톤미만 5월 0-4시,안전사고
어선 풍한호 동해공해 5~10톤미만 5월 12-16시,기관손상
어선 민국호 동해공해 5~10톤미만 5월 8-12시,안전사고
예인선 2001형제호 목포항 및 진입수로 50~100톤미만 7월 8-12시,해양오염
어선 제7아리호 동해영해 5~10톤미만 5월 8-12시,좌초
어선 창경1호 동해공해 5~10톤미만 5월 4-8시,추진축계손상
"어선 뉴태양호 삼천포, 통영항, 통영해만, 견내량수로 5~10톤미만 5월 4-8시",기관손상
"어선 광명호 삼천포, 통영항, 통영해만, 견내량수로 5~10톤미만 5월 4-8시",기관손상
어선 챌린저호 인천항 및 진입수로 5~10톤미만 5월 16-20시,부유물감김
어선 우성호 서해영해 5~10톤미만 5월 12-16시,좌초
어선 제800형빈호 남해영해 5~10톤미만 5월 12-16시,조타장치손상
어선 태양3호 서해영해 5~10톤미만 5월 12-16시,안전사고
예인선 2001형제호 서해영해 50~100톤미만 6월 12-16시,해양오염
